,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0,3,3,4,4,3,2,2,4,2,2,3,2,2,2,4,5,2,2,5,2,4,3,2,2,2,2,3,2,4
2,3,0,4,4,4,4,2,2,4,2,2,3,2,2,2,4,3,2,2,4,2,3,4,2,2,2,2,4,2,4
3,3,4,0,4,3,4,2,2,3,2,2,4,2,2,3,3,4,2,2,4,2,4,4,2,2,2,2,4,2,3
4,4,4,4,0,4,4,2,2,4,2,2,3,2,2,2,4,3,2,2,3,2,4,4,2,2,2,2,3,2,4
5,4,4,3,4,0,4,2,2,4,2,2,4,2,2,2,3,4,2,2,3,2,3,4,2,2,2,2,4,2,4
6,3,4,4,4,4,0,2,2,4,2,2,4,2,2,2,3,4,2,2,4,2,3,3,2,2,2,2,4,2,4
7,2,2,2,2,2,2,0,4,2,4,4,2,4,3,4,2,2,3,4,2,4,2,2,4,4,3,4,2,3,2
8,2,2,2,2,2,2,4,0,2,3,3,2,4,4,3,2,2,4,4,2,4,2,2,4,4,4,3,2,4,2
9,4,4,3,4,4,4,2,2,0,2,2,4,2,2,2,4,4,2,2,4,2,3,3,2,2,2,2,4,2,3
10,2,2,2,2,2,2,4,3,2,0,5,2,4,4,4,2,2,4,4,2,3,2,2,4,3,4,3,2,3,2
11,2,2,2,2,2,2,4,3,2,5,0,2,4,3,4,2,2,4,4,2,5,2,2,3,3,3,4,2,3,2
12,3,3,4,3,4,4,2,2,4,2,2,0,2,2,2,4,4,2,3,3,2,4,4,2,2,2,2,3,2,4
13,2,2,2,2,2,2,4,4,2,4,4,2,0,4,3,2,2,3,3,2,4,2,2,4,3,4,4,2,4,2
14,2,2,2,2,2,2,3,4,2,4,3,2,4,0,4,2,2,4,3,2,3,2,2,4,4,4,4,2,4,2
15,2,2,3,2,2,2,4,3,2,4,4,2,3,4,0,2,2,3,4,2,4,2,2,4,3,3,4,2,4,2
16,4,4,3,4,3,3,2,2,4,2,2,4,2,2,2,0,4,2,2,3,2,4,4,2,2,2,2,4,2,4
17,5,3,4,3,4,4,2,2,4,2,2,4,2,2,2,4,0,2,2,3,2,4,4,2,2,2,2,3,2,3
18,2,2,2,2,2,2,3,4,2,4,4,2,3,4,3,2,2,0,3,2,4,2,2,4,4,4,4,2,4,2
19,2,2,2,2,2,2,4,4,2,4,4,3,3,3,4,2,2,3,0,2,4,2,2,3,4,4,4,2,3,2
20,5,4,4,3,3,4,2,2,4,2,2,3,2,2,2,3,3,2,2,0,2,4,4,2,2,2,2,4,2,4
21,2,2,2,2,2,2,4,4,2,3,5,2,4,3,4,2,2,4,4,2,0,2,2,3,4,3,3,2,4,2
22,4,3,4,4,3,3,2,2,3,2,2,4,2,2,2,4,4,2,2,4,2,0,4,2,2,2,2,4,2,4
23,3,4,4,4,4,3,2,2,3,2,2,4,2,2,2,4,4,2,2,4,2,4,0,2,2,2,2,4,2,3
24,2,2,2,2,2,2,4,4,2,4,3,2,4,4,4,2,2,4,3,2,3,2,2,0,4,4,3,2,4,2
25,2,2,2,2,2,2,4,4,2,3,3,2,3,4,3,2,2,4,4,2,4,2,2,4,0,4,4,2,4,2
26,2,2,2,2,2,2,3,4,2,4,3,2,4,4,3,2,2,4,4,2,3,2,2,4,4,0,4,2,4,2
27,2,2,2,2,2,2,4,3,2,3,4,2,4,4,4,2,2,4,4,2,3,2,2,3,4,4,0,2,4,2
28,3,4,4,3,4,4,2,2,4,2,2,3,2,2,2,4,3,2,2,4,2,4,4,2,2,2,2,0,2,4
29,2,2,2,2,2,2,3,4,2,3,3,2,4,4,4,2,2,4,3,2,4,2,2,4,4,4,4,2,0,2
30,4,4,3,4,4,4,2,2,3,2,2,4,2,2,2,4,3,2,2,4,2,4,3,2,2,2,2,4,2,0
